,name,latitude,longitude
0,人民英雄纪念碑,39.90485125582507, 116.39766102474691
1,于谦祠,39.907901104938794, 116.4232820824188
2,天安门,39.908901233500615, 116.39744771125467
3,太庙,39.91184823144727, 116.39983005358292
4,中国国家博物馆,39.906082114125546, 116.40149706917228
5,中国美术馆,39.92555298948034, 116.4090513707782
6,毛主席纪念堂,39.9027445107367, 116.3976908959109
7,文天祥祠,39.936169714337495, 116.41012479776325
8,孔庙,39.94696305546395, 116.41458099908093
9,正阳门,39.900668208815, 116.39785343823905
10,北京大学红楼,39.92485776349488, 116.40531526892696
11,地坛,39.95398092695493, 116.41554465263994
12,古观象台,39.90777806634612, 116.43474828426986
13,孙中山行馆,39.93520757314566, 116.4114053293113
14,国子监,39.94678695357627, 116.41329359662132
15,故宫,39.916568644548185, 116.39707317948276
16,金水桥,39.908230285669084, 116.39738427112896
17,柏林寺,39.94597006193013, 116.41991335358409
18,皇史宬,39.90991965311181, 116.40355791310584
19,智化寺,39.9175098533325, 116.43233232659843
20,普度寺,39.91332839707387, 116.40467826892659
21,鼓楼、钟楼,39.941403528436574, 116.39601674379409
22,雍和宫,39.947852130506874, 116.41741894379429
23,天坛,39.88358109805253, 116.41300026337784
24,天桥乐茶园,39.883984730285015, 116.39782154008984
25,龙潭湖公园,39.88152090676422, 116.4405239400897
26,人民大会堂,39.905181343332316, 116.39394229776224
27,历代帝王庙,39.92477590287918, 116.36736335358339
28,中山公园,39.91129877407185, 116.39484676839267
29,什刹海,39.93963180538774, 116.38762124929843
30,月坛,39.91669715692989, 116.35219916707545
31,民族文化宫,39.90841472419088, 116.3691018112547
32,北海公园,39.92566130011244, 116.38925316892697
33,宋庆龄故居,39.94474448614222, 116.38346916892769
34,白塔寺,39.924179469897766, 116.3633753977628
35,都城隍庙大殿,39.90914949226972, 116.3598031670752
36,恭王府,39.935905603144285, 116.38649282845032
37,徐悲鸿纪念馆,39.94511816312807, 116.37151018427122
38,郭沫若故居,39.93471603861176, 116.3891698959119
39,景山公园,39.92571585965593, 116.39683256892702
40,鲁迅故居,39.926005305230014, 116.35880582845004
41,德胜门箭楼,39.94990832469553, 116.37933941522543
42,北京梅兰芳故居,39.93580455402544, 116.37936828241968
43,白云观,39.90135948408069, 116.34392031310568
44,牛街清真寺,39.88592562921331, 116.36420981125387
45,先农坛,39.87706192048206, 116.39370925173071
46,报国寺,39.891354311720335, 116.3594810824182
47,松筠庵,39.963747334752256, 116.72347847263063
48,法源寺,39.884399319479776, 116.36962982104383
49,南堂,39.90090243974849, 116.37523174379274
50,陶然亭公园,39.874149230603095, 116.38198214428425
51,琉璃厂,39.89652479805645, 116.38650962599263
52,梨园剧场,39.88759632210034, 116.38671208241806
53,老舍茶馆,39.918899777443855, 116.29745102711193
54,湖广会馆,39.889252406488765, 116.38389699776174
55,香山,39.98840022803675, 116.18798202199856
56,植物园,40.000962604389095, 116.20848241410768
57,卧佛寺,40.00861559844673, 116.20682996467484
58,七王坟,40.089877762215245, 116.09013684565004
59,三一八烈士墓,39.94207017155662, 116.30842191310694
60,大觉寺,40.05262301571384, 116.10661091311054
61,大慧寺,39.95244524286472, 116.33605422474848
62,中国人民革命军事博物馆,39.910084571176185, 116.32408567077778
63,北京天文馆,39.93754979297094, 116.33648862501481
64,李大钊烈士陵园,39.98257394305734, 116.23334281125709
65,辛亥滦州革命先烈纪念塔,40.05249171574465, 116.1595209131106
66,松堂,39.97500607791996, 116.20629764191065
67,大钟寺,39.96894409722493, 116.33790781125653
68,首都体育馆,39.940401305968365, 116.32708125173279
69,真觉寺,39.945138064630974, 116.33045728612241
70,圆明园遗址,40.008352930437816, 116.29830062845264
71,高梁桥,39.94201153882535, 116.35277861944415
72,斯诺墓,39.99404893024083, 116.31002518427272
73,紫竹院,39.942957071710794, 116.31895472659929
74,景泰陵,39.96010100376021, 116.29829381125633
75,黑龙潭,40.04408954239245, 116.2004767657319
76,蓟门烟树,39.967401542545566, 116.3544205228976
77,颐和园,40.00061735507069, 116.27553661391426
78,慈寿寺塔,39.92826620972142, 116.29526799776303
79,碧云寺,39.99827057807224, 116.189677455437
80,樱桃沟,39.99955758435332, 116.20895917578832
81,摩诃庵,39.92958666058681, 116.29380054009121
82,魏太和造像,39.944260121142655, 116.33092448587273
83,中华世纪坛,39.911758025949524, 116.32127291310599
84,日坛,39.91587935273219, 116.44425409591132
85,东岳庙,39.92403308181369, 116.44416928612173
86,西黄寺,39.96497403999019, 116.40410725033819
87,中国农业展览馆,39.941448792482, 116.46450878056855
88,大葆台西汉墓,39.81792127374334, 116.30369291310299
89,长辛店二七革命遗址,39.82277962012245, 116.20769781125193
90,芦沟桥,39.850274389715224, 116.21899069590918
91,宛平城,39.85090337023987, 116.22194915543218
92,金土城遗址,39.64134300050868, 116.03992364193314
93,镇岗塔,39.81561760784462, 116.17021804667937
94,燕墩,39.868938015439674, 116.39889608241752
95,灵山,40.040266188268596, 115.50040408242302
96,百花山,39.926954831714745, 115.69209090954479
97,妙峰山,40.07408935444184, 116.02009421867992
98,龙门涧,40.072556611420495, 115.58379854435755
99,潭柘寺,39.8825934103823, 116.03088807753679
100,西峰寺,39.88875301539746, 116.0624292689258
101,戒台寺,39.871742550354995, 116.08637114194053
102,沿河城,40.08086446657308, 115.72215344623106
103,珍珠湖,40.0824405808831, 115.77845837696742
104,内边长城敌台,40.43212817573918, 116.57046072846637
105,爨底下村,39.99564690058028, 115.6443149131087
106,西山八大处,39.954744342677934, 116.18624308242023
107,中国第四纪冰川遗迹陈列馆,39.93769578953067, 116.16221792170424
108,法海寺,39.94114004480031, 116.15985572659926
109,小汤山温泉,40.16434556582857, 116.39994593030887
110,巩华城,40.12399505602384, 116.2793032014717
111,沟沟崖,40.29965122128303, 116.16129752017409
112,明十三陵,40.25523085906345, 116.22366288613242
113,居庸关,40.28998494115738, 116.06380116708753
114,居庸关云台,40.28918122116268, 116.0683287572976
115,银山塔林,40.32081984031033, 116.31407616708846
116,朝宗桥,40.13343515677617, 116.26896163412684
117,长城,40.43280165081921, 116.57038764101013
118,八达岭,40.35981680645571, 116.02040663586884
119,詹天佑铜像,39.959977227626744, 116.4305792689282
120,慕田峪长城,40.43280165081921, 116.57038764101013
121,撞道口,40.4018010431441, 116.34845018428604
122,龙泉寺,40.10409178926998, 116.09170470727113
123,戚继光诗词碑,40.403354209781305, 116.8775238284654
124,司马台长城,40.64906764170048, 117.243919624771
125,红螺寺,40.37798971298168, 116.62422262624251
126,焦庄户地道战遗址,40.233860552830336, 116.86989189592161
127,永通桥,37.75486408030327, 114.76764099769458
128,李卓吾墓,39.91244529865529, 116.66282425436648
129,十渡,39.64039528178441, 115.59942108616498
130,上方山,39.675292130795384, 115.82687150413224
131,云水洞,39.66788585168579, 115.81363498796476
132,中国猿人遗址,39.690649609051434, 115.93460616706827
133,周口店鱼化石产地,39.68518093247866, 115.92943343823221
134,山顶洞人遗址,39.686976988228494, 115.92118864176211
135,新洞人遗址,39.6835979383465, 115.92346772659099
136,良乡多宝佛塔,39.71585326678097, 116.15621965913036
137,云居寺塔,39.60317237170654, 115.7695882689166
138,琉璃河商周遗址,39.617063596600225, 116.055935997753
139,金海湖,40.184619640927096, 117.3168090949288
140,海子水库,40.182971800186095, 117.3109420677193
141,元土城遗址,39.97660036803481, 116.36444089591342
142,东南城角角楼,39.901815360454336, 116.43479891310554
143,北京地下铁道,39.96792884508427, 116.40457577666542
144,关沟七十二景,40.361907655444426, 116.01313326894105
