listing_id,date
114384,2014-12-21
114384,2014-12-26
114384,2014-12-29
114384,2015-01-23
114384,2015-02-16
114384,2015-03-27
114384,2015-04-07
114384,2015-04-19
114384,2015-05-10
114384,2015-05-16
114384,2015-06-11
114384,2015-06-19
114384,2015-06-27
114384,2015-08-17
114384,2015-09-05
114384,2015-09-14
114384,2015-09-24
114384,2015-10-25
114384,2015-12-24
114384,2015-12-27
114384,2016-04-01
114384,2016-05-16
114384,2016-05-29
114384,2016-07-10
114384,2016-07-30
114384,2016-08-06
114384,2016-08-07
114384,2016-08-20
114384,2016-08-20
114384,2016-08-24
114384,2016-09-17
114384,2016-10-29
114384,2016-11-20
114384,2016-12-28
114384,2016-12-29
114384,2017-04-23
114384,2017-04-30
114384,2017-05-14
114384,2017-05-18
114384,2017-05-24
114384,2017-06-17
114384,2017-06-28
114384,2017-07-09
114384,2017-07-15
114384,2017-07-16
114384,2017-07-23
114384,2017-07-28
114384,2017-08-21
114384,2017-09-12
114384,2017-09-18
114384,2017-11-18
114384,2017-11-24
114384,2017-12-16
114384,2017-12-19
114384,2017-12-22
114384,2018-01-01
114384,2018-01-08
114384,2018-01-11
114384,2018-02-14
114384,2020-01-04
114465,2012-11-13
114465,2012-12-08
114465,2012-12-19
114465,2013-12-02
114465,2015-04-07
114465,2015-06-30
114465,2016-01-01
114465,2016-01-04
114465,2017-09-21
114465,2019-10-06
128496,2011-06-02
128496,2011-06-05
128496,2011-08-02
128496,2011-08-26
128496,2011-09-04
128496,2011-09-07
128496,2011-09-12
128496,2011-09-19
128496,2011-10-20
128496,2011-10-23
128496,2011-11-07
128496,2011-11-15
128496,2011-11-23
128496,2011-12-01
128496,2011-12-08
128496,2011-12-18
128496,2011-12-30
128496,2012-01-06
128496,2012-01-11
128496,2012-01-23
128496,2012-02-12
128496,2012-02-17
128496,2012-02-26
128496,2012-03-01
128496,2012-03-03
128496,2012-03-07
128496,2012-03-13
128496,2012-03-15
128496,2012-03-18
128496,2012-03-20
128496,2012-03-26
128496,2012-04-14
128496,2012-04-22
128496,2012-04-25
128496,2012-05-01
128496,2012-05-05
128496,2012-05-12
128496,2012-05-13
128496,2012-05-18
128496,2012-05-29
128496,2012-06-04
128496,2012-06-08
128496,2012-06-14
128496,2012-06-18
128496,2012-07-23
128496,2012-07-28
128496,2012-08-06
128496,2012-08-11
128496,2012-08-24
128496,2012-09-06
128496,2012-09-11
128496,2012-09-21
128496,2012-09-29
128496,2012-10-10
128496,2012-10-14
128496,2012-10-21
128496,2012-10-25
128496,2012-10-27
128496,2012-10-31
128496,2012-11-05
128496,2012-11-29
128496,2012-12-08
128496,2012-12-23
128496,2012-12-28
128496,2012-12-29
128496,2013-01-06
128496,2013-01-09
128496,2013-02-07
128496,2013-02-17
128496,2013-03-06
128496,2013-03-09
128496,2013-03-14
128496,2013-03-27
128496,2013-04-02
128496,2013-05-19
128496,2013-05-20
128496,2013-05-28
128496,2013-06-01
128496,2013-06-08
128496,2013-06-15
128496,2013-06-20
128496,2013-06-22
128496,2013-06-28
128496,2013-07-18
128496,2013-07-25
128496,2013-07-30
128496,2013-08-06
128496,2013-08-15
128496,2013-08-19
128496,2013-08-24
128496,2013-09-02
128496,2013-09-07
128496,2013-09-13
128496,2013-09-18
128496,2013-10-01
128496,2013-10-05
128496,2013-10-11
128496,2013-10-15
128496,2013-10-18
128496,2013-10-27
128496,2013-10-31
128496,2013-11-02
128496,2013-11-10
128496,2013-11-22
128496,2013-12-02
128496,2013-12-10
128496,2013-12-15
128496,2013-12-22
128496,2013-12-28
128496,2014-01-03
128496,2014-01-13
128496,2014-02-03
128496,2014-02-18
128496,2014-02-22
128496,2014-03-02
128496,2014-03-11
128496,2014-03-13
128496,2014-03-19
128496,2014-03-23
128496,2014-03-25
128496,2014-03-28
128496,2014-04-04
128496,2014-04-05
128496,2014-04-14
128496,2014-04-29
128496,2014-05-05
128496,2014-05-14
128496,2014-05-27
128496,2014-06-02
